,ZONA_O,ZONA_D,FE_VIA
289,Jóquei Clube,Bosque da Saúde,7
290,Jóquei Clube,Casa Verde,7
291,Jóquei Clube,São João Clímaco,7
292,Adventista,Jóquei Clube,7
293,Perdizes,Paraíso,7
294,Jóquei Clube,Tietê,7
295,Liberdade,Gavião Peixoto,7
296,Bom Jardim,Barra Funda,7
297,Jóquei Clube,Vila Leopoldina,7
298,Jóquei Clube,Vila Miranda,7
299,Jóquei Clube,Vila Missionária,7
300,Jóquei Clube,Sacomã,7
301,Gavião Peixoto,Portal do Morumbi,7
302,Jabaquara,Gavião Peixoto,7
303,João Teodoro,Gasômetro,7
304,Vila São Pedro,Gavião Peixoto,7
305,Jóquei Clube,Jardim Bom Clima,7
306,Jóquei Clube,Jardim Bonfiglioli,7
307,Jóquei Clube,Jardim Aeroporto,7
308,Bandeirantes,Jóquei Clube,7
309,Bom Jardim,Jóquei Clube,7
310,Jardim Bom Clima,Jóquei Clube,7
311,Vila Cordeiro,CEASA,7
312,Água Branca,Jóquei Clube,7
313,Oriente,Vila Olímpia,7
314,Congonhas,Berrini,7
315,Jóquei Clube,Congonhas,7
316,Santa Cecília,Jóquei Clube,7
317,Sacomã,Jóquei Clube,7
318,Jóquei Clube,Jurubatuba,7
319,Jardim Luzitânia,Alto da Lapa,7
320,Jóquei Clube,Liberdade,7
321,Parque Anhembi,Jóquei Clube,7
322,Jóquei Clube,Oriente,7
323,João Teodoro,Cidade A.E.Carvalho,7
324,Canindé,Vila Matilde,7
325,Jóquei Clube,Parque Anhembi,7
326,Gavião Peixoto,Vila São Pedro,7
327,São João Clímaco,Jóquei Clube,7
328,Orfanato,Canindé,7
329,Vila Sônia,Treze de Maio,7
330,Jóquei Clube,Adventista,7
331,Parque Dom Pedro,Jóquei Clube,7
332,João Teodoro,Paraíso,7
333,Barra Funda,Bom Jardim,7
334,Canindé,Bom Retiro,7
335,João Teodoro,Penha,7
336,Pacaembu,Santa Ifigênia,7
337,Zequinha de Abreu,Jóquei Clube,7
338,Jabaquara,Jóquei Clube,7
339,Vila Ipojuca,Jóquei Clube,7
340,Jóquei Clube,Anhanguera,7
341,João Teodoro,Tucuruvi,7
342,Anhanguera,Jóquei Clube,7
343,Vila Missionária,Jóquei Clube,7
344,João Teodoro,Treze de Maio,7
345,FAAP,Granja Julieta,7
346,João Teodoro,Santana,7
347,Vila Cordeiro,Zequinha de Abreu,7
348,Jardim Bonfiglioli,Jóquei Clube,7
349,Santa Marina,Jóquei Clube,7
350,Vila Matilde,Canindé,7
