,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
356,276,0.0,0.0,1.0,5.0,8
357,279,0.0,0.0,1.0,3.0,15
358,281,0.0,0.0,2.0,3.0,6
359,282,0.0,0.0,1.0,6.0,14
360,283,0.0,0.0,1.0,5.0,14
361,284,0.0,0.0,2.0,3.0,6
362,288,0.0,0.0,1.0,3.0,17
363,290,0.0,0.0,1.0,4.0,16
364,291,0.0,0.0,1.0,2.0,11
365,293,0.0,0.0,1.0,2.0,17
366,295,0.0,0.0,2.0,5.0,17
367,296,0.0,0.0,2.0,10.0,35
368,297,0.0,0.0,6.0,12.0,33
369,299,0.0,0.0,3.0,11.0,39
370,300,0.0,0.0,1.0,5.0,34
371,301,0.0,0.0,1.0,6.0,32
372,302,0.0,0.0,4.0,13.0,44
373,303,0.0,0.0,5.0,15.0,41
374,305,0.0,0.0,2.0,9.0,19
375,309,0.0,0.0,2.0,3.0,12
376,310,0.0,0.0,6.0,11.0,40
377,313,0.0,0.0,2.0,5.0,17
378,314,0.0,0.0,3.0,10.0,19
379,315,0.0,0.0,4.0,10.0,20
380,321,0.0,0.0,1.0,4.0,10
381,322,0.0,0.0,2.0,6.0,13
382,323,0.0,0.0,2.0,6.0,13
383,330,0.0,0.0,1.0,2.0,11
384,331,0.0,0.0,1.0,2.0,11
385,343,0.0,0.0,1.0,4.0,19
386,352,0.0,0.0,1.0,6.0,23
387,353,0.0,0.0,3.0,6.0,15
388,354,0.0,0.0,3.0,6.0,16
389,357,0.0,0.0,3.0,10.0,30
390,361,0.0,0.0,2.0,10.0,30
391,362,0.0,0.0,2.0,7.0,19
392,365,0.0,0.0,2.0,2.0,10
393,366,0.0,0.0,1.0,5.0,15
394,367,0.0,0.0,1.0,5.0,15
395,370,0.0,0.0,1.0,3.0,16
396,373,0.0,0.0,2.0,10.0,22
397,378,0.0,0.0,1.0,2.0,14
398,380,0.0,0.0,1.0,1.0,7
399,383,0.0,0.0,1.0,4.0,18
400,384,0.0,0.0,1.0,4.0,18
401,385,0.0,0.0,1.0,4.0,13
402,386,0.0,0.0,2.0,4.0,10
403,390,0.0,0.0,1.0,6.0,16
404,400,0.0,0.0,1.0,2.0,8
405,401,0.0,0.0,1.0,4.0,19
406,403,0.0,0.0,1.0,3.0,15
407,405,0.0,0.0,1.0,4.0,16
408,407,0.0,0.0,3.0,5.0,14
409,409,0.0,0.0,1.0,6.0,14
410,415,0.0,0.0,1.0,3.0,20
411,417,0.0,0.0,1.0,2.0,21
412,419,0.0,0.0,2.0,7.0,18
413,422,0.0,0.0,1.0,1.0,15
414,423,0.0,0.0,1.0,4.0,23
415,425,0.0,0.0,1.0,3.0,11
416,429,0.0,0.0,1.0,4.0,13
417,432,0.0,0.0,1.0,4.0,22
418,439,0.0,0.0,3.0,4.0,12
419,445,0.0,0.0,2.0,3.0,19
420,446,0.0,0.0,1.0,3.0,11
421,451,0.0,0.0,1.0,2.0,12
422,453,0.0,0.0,1.0,5.0,14
423,454,0.0,0.0,3.0,10.0,18
424,455,0.0,0.0,2.0,5.0,23
425,457,0.0,0.0,2.0,5.0,21
426,458,0.0,0.0,2.0,5.0,17
427,459,0.0,0.0,1.0,2.0,9
428,460,0.0,0.0,3.0,3.0,3
429,461,0.0,0.0,1.0,1.0,8
430,462,0.0,0.0,3.0,6.0,16
431,465,0.0,0.0,1.0,5.0,19
432,466,0.0,0.0,1.0,18.0,41
433,471,0.0,0.0,3.0,6.0,16
434,476,0.0,0.0,5.0,7.0,10
435,479,0.0,0.0,1.0,3.0,11
436,482,0.0,0.0,2.0,2.0,17
437,484,0.0,0.0,5.0,8.0,10
438,485,0.0,0.0,1.0,2.0,5
439,486,0.0,0.0,2.0,7.0,19
440,487,0.0,0.0,1.0,7.0,20
441,494,0.0,0.0,1.0,5.0,16
442,500,0.0,0.0,1.0,4.0,19
443,505,0.0,0.0,1.0,8.0,19
444,511,0.0,0.0,1.0,4.0,19
445,515,0.0,0.0,1.0,5.0,16
446,516,0.0,0.0,1.0,5.0,16
447,517,0.0,0.0,1.0,3.0,15
448,519,0.0,0.0,1.0,6.0,19
449,521,0.0,0.0,1.0,2.0,17
450,523,0.0,0.0,2.0,4.0,21
451,525,0.0,0.0,2.0,4.0,20
452,526,0.0,0.0,3.0,10.0,19
453,527,0.0,0.0,1.0,2.0,12
454,529,0.0,0.0,1.0,3.0,19
455,530,0.0,0.0,1.0,3.0,20
456,531,0.0,0.0,1.0,8.0,37
457,532,0.0,0.0,1.0,8.0,37
458,533,0.0,0.0,1.0,3.0,10
459,534,0.0,0.0,1.0,3.0,10
460,539,0.0,0.0,2.0,5.0,20
461,540,0.0,0.0,2.0,8.0,15
462,544,0.0,0.0,2.0,2.0,7
463,550,0.0,0.0,3.0,10.0,32
464,552,0.0,0.0,1.0,9.0,31
465,554,0.0,0.0,1.0,6.0,17
466,555,0.0,0.0,1.0,5.0,17
467,558,0.0,0.0,1.0,3.0,10
468,561,0.0,0.0,1.0,5.0,15
469,562,0.0,0.0,1.0,4.0,14
470,566,0.0,0.0,1.0,9.0,18
471,567,0.0,0.0,1.0,4.0,12
472,570,0.0,0.0,4.0,5.0,13
473,575,0.0,0.0,3.0,8.0,36
474,578,0.0,0.0,1.0,5.0,15
475,579,0.0,0.0,2.0,6.0,19
476,580,0.0,0.0,1.0,3.0,21
477,582,0.0,0.0,1.0,1.0,15
478,583,0.0,0.0,3.0,5.0,25
479,584,0.0,0.0,1.0,4.0,11
480,590,0.0,0.0,1.0,3.0,9
481,591,0.0,0.0,1.0,3.0,12
482,592,0.0,0.0,2.0,5.0,23
483,593,0.0,0.0,1.0,1.0,21
484,594,0.0,0.0,3.0,8.0,11
485,596,0.0,0.0,4.0,8.0,16
486,602,0.0,0.0,1.0,4.0,20
487,603,0.0,0.0,1.0,3.0,15
488,604,0.0,0.0,1.0,3.0,15
489,608,0.0,0.0,2.0,5.0,17
490,609,0.0,0.0,3.0,6.0,18
491,612,0.0,0.0,1.0,2.0,14
492,615,0.0,0.0,1.0,2.0,10
493,617,0.0,0.0,1.0,5.0,19
