,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22549,D021601414,-23.598760000000002,-46.53833,AV DO ORATORIO,nan,2016-02-23 12:41:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22550,D021601415,-23.70532,-46.69359,AV JACINTO JULIO,nan,2016-02-10 08:09:00,2,Colisao,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
22551,D021601416,-23.534860000000002,-46.57513,AV CELSO GARCIA,RUA TUIUTI,2016-02-02 08:35:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22552,D021601417,-23.505860000000002,-46.57261,AV SARG MIGUEL DE SOUSA FILHO,nan,2016-02-25 22:16:00,2,Queda moto/bicicleta,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22553,D021601418,-23.52073,-46.746629999999996,AV DAS NACOES UNIDAS,nan,2016-02-02 18:00:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22554,D021601419,-23.58527,-46.68115,RUA VIRADOURO,nan,2016-02-16 16:00:00,2,Colisao,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22555,D021601420,-23.606460000000002,-46.47934,AV MATEO BEI,nan,2016-02-08 03:40:00,2,Colisao,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22556,D021601421,-23.571070000000002,-46.76488,AV ESCOLA POLITECNICA,nan,2016-02-05 00:00:00,2,Sem Informacao,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22557,D021601422,-23.46487,-46.70017,RUA DOMINGOS VEGA,nan,2016-02-21 12:30:00,2,Queda ocupante dentro,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22558,D021601423,-23.50045,-46.70643,AV GAL EDGAR FACO,nan,2016-02-19 14:30:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22559,D021601424,-23.5412,-46.49183,RUA MACIEL MONTEIRO,nan,2016-02-23 20:00:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22560,D021601425,-23.59471,-46.52592,AV SAPOPEMBA,nan,2016-02-22 18:30:00,2,Queda moto/bicicleta,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22561,D021601426,-23.51676,-46.42549,RUA NARCEJA,nan,2016-02-26 17:00:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22562,D021601427,-23.63391,-46.77517,RUA DR JOVIANO PACHECO DE AGUIRRE,nan,2016-02-06 15:50:00,2,Colisao,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
